GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
SUBHD0102_S33,Number - Male; Total population - 65 years and over - 85 years and over
SUBHD0103_S33,Number - Female; Total population - 65 years and over - 85 years and over
SUBHD0201_S33,Percent - Both sexes; Total population - 65 years and over - 85 years and over
SUBHD0202_S33,Percent - Male; Total population - 65 years and over - 85 years and over
SUBHD0203_S33,Percent - Female; Total population - 65 years and over - 85 years and over
HD03_S33,Males per 100 females; Total population - 65 years and over - 85 years and over
SUBHD0101_S34,Number - Both sexes; Total population - 16 years and over
SUBHD0102_S34,Number - Male; Total population - 16 years and over
SUBHD0103_S34,Number - Female; Total population - 16 years and over
SUBHD0201_S34,Percent - Both sexes; Total population - 16 years and over
SUBHD0202_S34,Percent - Male; Total population - 16 years and over
SUBHD0203_S34,Percent - Female; Total population - 16 years and over
HD03_S34,Males per 100 females; Total population - 16 years and over
SUBHD0101_S35,Number - Both sexes; Total population - 18 years and over
SUBHD0102_S35,Number - Male; Total population - 18 years and over
SUBHD0103_S35,Number - Female; Total population - 18 years and over
SUBHD0201_S35,Percent - Both sexes; Total population - 18 years and over
SUBHD0202_S35,Percent - Male; Total population - 18 years and over
SUBHD0203_S35,Percent - Female; Total population - 18 years and over
HD03_S35,Males per 100 females; Total population - 18 years and over
SUBHD0101_S36,Number - Both sexes; Total population - 21 years and over
SUBHD0102_S36,Number - Male; Total population - 21 years and over
SUBHD0103_S36,Number - Female; Total population - 21 years and over
SUBHD0201_S36,Percent - Both sexes; Total population - 21 years and over
SUBHD0202_S36,Percent - Male; Total population - 21 years and over
SUBHD0203_S36,Percent - Female; Total population - 21 years and over
HD03_S36,Males per 100 females; Total population - 21 years and over
SUBHD0101_S37,Number - Both sexes; Total population - 60 years and over
SUBHD0102_S37,Number - Male; Total population - 60 years and over
SUBHD0103_S37,Number - Female; Total population - 60 years and over
SUBHD0201_S37,Percent - Both sexes; Total population - 60 years and over
SUBHD0202_S37,Percent - Male; Total population - 60 years and over
SUBHD0203_S37,Percent - Female; Total population - 60 years and over
HD03_S37,Males per 100 females; Total population - 60 years and over
SUBHD0101_S38,Number - Both sexes; Total population - 62 years and over
SUBHD0102_S38,Number - Male; Total population - 62 years and over
SUBHD0103_S38,Number - Female; Total population - 62 years and over
SUBHD0201_S38,Percent - Both sexes; Total population - 62 years and over
SUBHD0202_S38,Percent - Male; Total population - 62 years and over
SUBHD0203_S38,Percent - Female; Total population - 62 years and over
HD03_S38,Males per 100 females; Total population - 62 years and over
SUBHD0101_S39,Number - Both sexes; Total population - 67 years and over
SUBHD0102_S39,Number - Male; Total population - 67 years and over
SUBHD0103_S39,Number - Female; Total population - 67 years and over
SUBHD0201_S39,Percent - Both sexes; Total population - 67 years and over
SUBHD0202_S39,Percent - Male; Total population - 67 years and over
SUBHD0203_S39,Percent - Female; Total population - 67 years and over
HD03_S39,Males per 100 females; Total population - 67 years and over
SUBHD0101_S40,Number - Both sexes; Total population - 75 years and over
SUBHD0102_S40,Number - Male; Total population - 75 years and over
SUBHD0103_S40,Number - Female; Total population - 75 years and over
SUBHD0201_S40,Percent - Both sexes; Total population - 75 years and over
SUBHD0202_S40,Percent - Male; Total population - 75 years and over
SUBHD0203_S40,Percent - Female; Total population - 75 years and over
HD03_S40,Males per 100 females; Total population - 75 years and over
SUBHD0101_S41,Number - Both sexes; Total population - Median age (years)
SUBHD0102_S41,Number - Male; Total population - Median age (years)
SUBHD0103_S41,Number - Female; Total population - Median age (years)
SUBHD0201_S41,Percent - Both sexes; Total population - Median age (years)
SUBHD0202_S41,Percent - Male; Total population - Median age (years)
SUBHD0203_S41,Percent - Female; Total population - Median age (years)
HD03_S41,Males per 100 females; Total population - Median age (years)
